user_name,user_id,type,search_location
oliverne,657204,User,korea
epruseal,656743,User,korea
BenAnna,657919,Organization,korea
kim5257,658988,User,korea
dltpdn,661959,User,korea
dkjung,661419,User,korea
madchick,664389,User,korea
c0untd0wn,665320,User,korea
comdown,665228,User,korea
zerocool-kor,668127,User,korea
meetkei,670289,User,korea
chongmyung,671194,User,korea
mynameisdongyoung,673965,User,korea
project-H,672397,Organization,korea
neo1125,674572,User,korea
msince,674242,User,korea
djadla,676963,User,korea
hiart,678284,User,korea
ghkim,680130,User,korea
phongbreezy,679848,User,korea
jaemyeong,681092,User,korea
ygpark,681874,User,korea
fxwano,683730,User,korea
ilove8,685463,User,korea
handol,686203,User,korea
JamieMoon,685120,User,korea
dreamboy,685285,User,korea
stonier,687378,User,korea
onlyabout,687690,User,korea
erial,688661,User,korea
appspresso,687629,User,korea
disjukr,690661,User,korea
mstorm,689676,User,korea
noohgn,690487,User,korea
studiotemple,690516,User,korea
yoziiinc,689401,Organization,korea
allsea9,692753,User,korea
seonchg,694148,User,korea
capher,697399,User,korea
youngwookim,699452,User,korea
sanheo,700723,User,korea
taehee,700902,User,korea
podain,703819,User,korea
Baekjoon,706317,User,korea
ppchun,706227,User,korea
bitaholic,707949,User,korea
shingiru,708043,User,korea
jsjeong,707988,User,korea
whxoans,707456,User,korea
jsh1986,710143,User,korea
meleung,711914,User,korea
darkhani,709740,User,korea
inbeom,712260,User,korea
deholic,712513,User,korea
nicecue,714316,User,korea
beerkeg,717188,User,korea
expsan,716611,User,korea
cuebrick,717067,User,korea
Hann,718811,User,korea
yane,718880,User,korea
lexifdev,721157,User,korea
jihyun2ya,720795,User,korea
toriworks,722062,User,korea
vudoancs,722971,User,korea
generaldoctor,721821,User,korea
miniway,725129,User,korea
azamara,726979,User,korea
sergey-senozhatsky,726822,User,korea
jjai,726289,User,korea
joyh,726537,User,korea
bioinfo0421-duplicate,726085,User,korea
scor7910,726695,User,korea
YeoufTan,729435,User,korea
seongmo,730392,User,korea
poguez,732015,User,korea
ikje,732973,User,korea
heejune,734832,User,korea
sdkrer,734557,User,korea
navs,736107,User,korea
panelion,740347,User,korea
soyoja,741796,User,korea
rca32,741501,User,korea
youngung,745653,User,korea
nethanes,745471,User,korea
bujum,745123,User,korea
mindslee,747003,User,korea
JaeMyeongPark,747092,User,korea
minamiland,748805,User,korea
monot,749086,User,korea
kyoungsongKim,749517,User,korea
parkssie,749696,User,korea
busylee,749569,User,korea
LeeYohan,749701,User,korea
max-christian,751565,User,korea
alex-park,753769,User,korea
psmon,754124,User,korea
gamtoggi,753834,User,korea
sunglim,756988,User,korea
ktinnotz,756574,User,korea
jee1033,756796,User,korea
mjkim,758324,User,korea
yeongmin,758309,User,korea
BryanCho,758573,User,korea
Songhun,760451,User,korea
snaiper80,760848,User,korea
dasolsys,759975,User,korea
seian,761742,User,korea
shjeun,762043,User,korea
fstory97,761977,User,korea
fstory97-duplicate,761976,User,korea
okjsp,761625,Organization,korea
karipe,763152,User,korea
Gyungchul,762975,User,korea
itmentor,763639,User,korea
ltbl,763107,Organization,korea
brian02k,763894,User,korea
seunghun,764739,User,korea
dhjo70,765004,User,korea
blurblah,766223,User,korea
Tarasyn,764732,User,korea
magmajo,765354,User,korea
yakuyaku,766922,User,korea
eunhee,766817,User,korea
takkzzi,767324,User,korea
isirinz,767697,User,korea
peterHong,767084,User,korea
pheadra,769058,User,korea
caffeinee,771743,User,korea
Sjworks,773003,User,korea
anteaterho,773412,User,korea
jaehyunkim,774840,User,korea
thinkreals,774844,Organization,korea
wecanooo,776959,User,korea
Hybrid0,778754,User,korea
jaese,779106,User,korea
Thomas2070,779745,User,korea
demyan-g,779120,User,korea
hksonngan,780912,User,korea
leyi,782722,User,korea
ytseo,786384,User,korea
spoqa,785135,Organization,korea
parksehun,786167,User,korea
clove1,786645,User,korea
