repo_id,owner_id,owner_name,type,search_location
17103224,6757945,js-jung,User,korea
52018341,7427370,HIPERCUBE,User,korea
75519218,7574765,yunho0130,User,korea
23616394,7566174,what-studio,Organization,korea
60787998,7566174,what-studio,Organization,korea
23729666,7685905,kimtg,User,korea
63059545,7719707,softage0,User,korea
29945422,7830853,tunz,User,korea
35922192,7830853,tunz,User,korea
22027740,8214032,greencatsoft,Organization,korea
23871888,8214032,greencatsoft,Organization,korea
51969435,8275048,ParkSangGwon,User,korea
66920244,8275048,ParkSangGwon,User,korea
49814582,8275048,ParkSangGwon,User,korea
29001937,8318916,vowed21,User,korea
91157631,8379861,magi82,User,korea
29962862,8395775,riiid,Organization,korea
9358883,8666157,ModernPUG,Organization,korea
35827335,8907756,shin285,User,korea
28195535,8934513,mu29,User,korea
101277739,9071444,wotomas,User,korea
79986930,9531750,ppth0608,User,korea
56137357,9635637,sokcuri,User,korea
30584156,9780129,if-Team,Organization,korea
30584156,9780129,if-Team,Organization,korea
19346982,10087397,konlpy,Organization,korea
45672765,10647548,sangcomz,User,korea
32986842,10824363,CloudBreadProject,Organization,korea
68225744,11265431,DongjunLee,User,korea
60270542,11426174,gdgand,Organization,korea
57401138,11768100,bitnine-oss,Organization,korea
45671249,12075736,buo,User,korea
16042179,13130397,poesis,Organization,korea
50482588,13158709,samchon,User,korea
39832985,13158709,samchon,User,korea
94279342,13516107,omjoonkim,User,korea
74197017,13579986,Kyubyong,User,korea
91395977,13579986,Kyubyong,User,korea
76819036,13579986,Kyubyong,User,korea
77006492,13579986,Kyubyong,User,korea
94618560,13579986,Kyubyong,User,korea
73980540,13579986,Kyubyong,User,korea
77765629,13579986,Kyubyong,User,korea
77008142,13579986,Kyubyong,User,korea
78395857,13579986,Kyubyong,User,korea
80783838,13579986,Kyubyong,User,korea
93305304,13579986,Kyubyong,User,korea
75027219,13579986,Kyubyong,User,korea
77439656,13579986,Kyubyong,User,korea
40517563,13740874,NORMA-Inc,User,korea
57167157,14007947,ROBOTIS-GIT,Organization,korea
53405301,14007947,ROBOTIS-GIT,Organization,korea
61611248,14007947,ROBOTIS-GIT,Organization,korea
65195669,14093971,AWEEKJ,User,korea
42779186,14362220,CppKorea,Organization,korea
93711918,15006217,kimhc6028,User,korea
94205892,15006217,kimhc6028,User,korea
